,eng,deu
2119,I understand.,Ich verstehe.
2120,It'll be hot.,Es wird heiß sein.
2121,Tom is there.,Tom ist dort.
2122,I fell.,Ich stürzte.
2123,Come on in.,Komm herein.
2124,Tom is witty.,Tom ist gewitzt.
2125,Stop them.,Stoppen Sie sie.
2126,Keep working.,Arbeiten Sie weiter.
2127,She bit him.,Sie biss ihn.
2128,Don't go in.,Geh nicht rein.
2129,I'm famous.,Ich bin berühmt.
2130,Don't scream.,Schreien Sie nicht!
2131,Go away!,Pack dich!
2132,I adore you.,Ich bete Sie an.
2133,It hurts.,Es schmerzt.
2134,Make a guess.,Ratet mal!
2135,Quit whining.,Hört auf zu jammern!
2136,Have another.,Nehmen Sie noch eine.
2137,It's a fruit.,Das ist eine Frucht.
2138,Grab my hand.,Nimm meine Hand.
2139,You're weak.,Ihr seid schwach.
2140,They cheat.,Sie schummeln.
2141,Fix the roof.,Repariere das Dach!
2142,We all stood.,Wir sind alle gestanden.
2143,I had fun.,Ich habe mich amüsiert.
2144,He seems ill.,Er scheint krank zu sein.
2145,Tom burped.,Tom stieß auf.
2146,Nobody slept.,Niemand schlief.
2147,Boil one egg.,Kocht ein Ei!
2148,Speak French.,Sprecht französisch.
2149,Hurry up.,Beeil dich.
2150,I hurried.,Ich habe mich beeilt.
2151,No one left.,Niemand ist gegangen.
2152,Let's begin.,Lassen Sie uns loslegen.
2153,I'm in Perth.,Ich bin in Perth.
2154,Ask Tom.,Fragen Sie Tom!
2155,Head north.,Fahrt Richtung Norden.
2156,They said no.,Sie sagten nein.
2157,Stop crying.,Hör auf zu weinen!
2158,They called.,Sie haben angerufen.
2159,He left.,Er ist gegangen.
2160,I'm not hurt.,Ich bin unverletzt.
2161,OK. I agree.,"Gut, ich bin einverstanden."
2162,He avoids me.,Er schneidet mich.
2163,Be watchful.,Sei auf der Hut.
2164,He is mean.,Er ist fies.
2165,Go away!,Mach dich vom Acker!
2166,Relax.,Entspann dich.
2167,It's immoral.,Das ist unmoralisch.
2168,I'm not well.,Mir geht es schlecht.
2169,Are you lost?,Habt ihr euch verirrt?
2170,He is old.,Er ist alt.
2171,They smiled.,Sie lächelten.
2172,I hugged Tom.,Ich umarmte Tom.
2173,I eat here.,Ich esse hier.
2174,Tom saw us.,Tom sah uns.
2175,Tom whistled.,Tom pfiff.
2176,Come in.,Herein!
2177,It's great.,Es ist großartig.
2178,He was naive.,Er war töricht.
2179,This is true.,Das stimmt.
2180,He's sexy.,Er ist sexy.
2181,I'm hungover.,Ich bin verkatert.
2182,Tom was sad.,Tom war betrübt.
2183,Tom is vain.,Tom ist eitel.
2184,Stay focused.,Konzentriert euch!
2185,She smiled.,Sie hat gelächelt.
2186,Tom is loud.,Tom ist laut.
2187,I'm fine.,Mir geht's gut.
2188,They walked.,Sie gingen zu Fuß.
2189,Be merciful.,Seien Sie gnädig!
2190,Think hard.,Denken sie scharf nach!
2191,I hate that.,Ich hasse die.
2192,Write me.,Schreiben Sie mir!
2193,Go away.,Verzieh dich!
2194,I cheated.,Ich habe geschummelt.
2195,Men are pigs.,Männer sind Schweine.
2196,Are you hurt?,Haben Sie sich wehgetan?
2197,Can we talk?,Können wir reden?
2198,I'm thorough.,Ich bin gründlich.
2199,I can't help.,Ich kann nicht helfen.
2200,Leave town.,Verlassen Sie die Stadt.
2201,Watch us.,Beobachtet uns.
2202,I got cold.,Mir wurde kalt.
2203,Tom'll talk.,Tom wird reden.
2204,Who saw you?,Wer sah dich?
2205,Say cheese.,Bitte lächeln!
2206,Turn it off.,Mach es aus.
2207,Take control.,Übernehmen Sie die Kontrolle.
2208,Tom listens.,Tom hört zu.
2209,Eat up.,Iss auf!
2210,I can't go.,Ich kann nicht gehen.
2211,Come see me.,Komm und besuch mich.
2212,Go to sleep.,Gehe schlafen!
2213,Who hit you?,Wer hat euch geschlagen?
2214,Tom blinked.,Tom blinzelte.
2215,I wept.,Ich weinte.
2216,I'll do that.,Ich werde dies tun.
2217,You amuse me.,Sie amüsieren mich.
2218,Just try it.,Versucht es doch einfach!
2219,We're stuck.,Wir stecken fest.
2220,Can you try?,Kannst du es versuchen?
2221,I yawned.,Ich habe gegähnt.
2222,I'm with him.,Ich bin bei ihm.
2223,Be specific.,Sei spezifisch.
2224,I'm starved.,Ich sterbe vor Hunger!
2225,You're thin.,Ihr seid dünn.
2226,Go to work.,Geh arbeiten!
2227,Tom ate it.,Tom hat’s gegessen.
2228,We can begin.,Wir können beginnen.
2229,"Come in, Tom.","Komm rein, Tom."
2230,Good night.,Gute Nacht!
2231,It's me.,Ich bin’s.
2232,Is that Tom?,Ist das Tom?
2233,She left.,Sie ist gegangen.
2234,Is Tom good?,Ist Tom brav?
2235,You said it!,"Ja, es ist wirklich so."
2236,What a dump.,Was für ein Drecksloch.
2237,She is kind.,Sie ist freundlich.
2238,I escaped.,Ich bin entkommen.
2239,Tom told her.,Tom sagte es ihr.
2240,Who panicked?,Wer brach in Panik aus?
2241,Did Tom try?,Hat Tom es versucht?
2242,Let's do it!,Lass es uns in Angriff nehmen!
2243,Who'll cook?,Wer wird kochen?
2244,She blushed.,Sie wurde rot.
2245,We'll go.,Wir werden gehen.
2246,God exists.,Gott existiert.
2247,I eat meat.,Ich esse Fleisch.
2248,Tom showered.,Thomas hat sich geduscht.
2249,Tom can walk.,Tom kann laufen.
2250,I'm all ears.,Ich bin ganz Ohr.
2251,Try harder.,Strengt euch mehr an.
2252,Tom paid me.,Tom bezahlte mich.
2253,Who did this?,Wer tat das?
2254,You're mine.,Du gehörst mir.
2255,It's mine.,Sie gehört mir.
2256,Tom is needy.,Tom ist bedürftig.
2257,Eat slowly.,Iss langsam!
2258,Kill them.,Töte sie!
2259,Were you bit?,Wurden Sie gebissen?
2260,I hate dogs.,Ich hasse Hunde.
2261,I'm twelve.,Ich bin 12 Jahre alt.
2262,Tom did this.,Tom hat das gemacht.
2263,What a team!,Was für ein Team!
2264,They laughed.,Sie lachten.
2265,Here's $5.,Hier sind fünf Dollar.
2266,Tom saw Mary.,Tom hat Maria gesehen.
2267,Tom's tipsy.,Tom hat einen im Tee.
2268,I give in.,Ich füge mich.
2269,He has a car.,Er hat ein Auto.
2270,We'll wait.,Wir werden warten.
2271,Take my coat.,Nimm meinen Mantel.
2272,They may go.,Sie können gehen.
2273,I'm not deaf.,Ich bin nicht taub.
2274,Look out!,Vorsicht!
2275,I'm up.,Ich bin auf.
2276,You can rest.,Sie können ausruhen.
2277,He got a D.,Er bekam ein „ausreichend“.
2278,Tom is quiet.,Tom ist still.
2279,Jump down.,Spring runter!
2280,Deal with it.,Kümmern Sie sich drum!
2281,I can manage.,Ich komme klar.
2282,We all stood.,Wir standen alle.
2283,We'll hurry.,Wir beeilen uns.
2284,He is hated.,Er ist verhasst.
2285,Make a guess.,Rate mal!
2286,I met Tom.,Ich traf Tom.
2287,Cuff him.,Legen Sie ihm Handschellen an.
2288,Be tolerant.,Sei tolerant.
2289,You missed.,Du hast nicht getroffen.
2290,Let it be.,Lass es sein.
2291,I'll walk.,Ich gehe zu Fuß.
2292,Tom canceled.,Tom sagte ab.
2293,It's over.,Es ist vorbei.
2294,I'm leaving.,Ich verschwinde.
2295,Goodbye!,Leb wohl!
2296,Go away.,Mach dich fort!
2297,I'm eating.,Ich bin dabei zu essen.
2298,I'm deaf.,Ich bin taub.
2299,I'm sincere.,Ich bin aufrichtig.
2300,It's for you.,Das ist für dich.
2301,Try to guess.,Raten Sie mal!
2302,He hung up.,Er hat aufgelegt.
2303,We'll be OK.,Wir werden okay sein.
2304,Tom's shy.,Tom ist schüchtern.
2305,Tom got an A.,Tom bekam eine Eins.
2306,Is that blue?,Ist das blau?
2307,Do you smoke?,Rauchst du?
2308,Follow Tom.,Folgen Sie Tom.
2309,Keep reading.,Lesen Sie weiter!
2310,Tom knows it.,Tom kennt sie.
2311,I am ashamed.,Es ist mir peinlich.
2312,Tom approves.,Tom stimmt zu.
2313,Just go away.,Geh einfach weg.
2314,You're nuts!,Du bist verrückt!
2315,You're ugly.,Ihr seid hässlich.
2316,Tom grimaced.,Tom schnitt Grimassen.
2317,We help Tom.,Wir helfen Tom.
2318,Cool off!,Reg dich ab!
2319,Tom cursed.,Thomas fluchte.
2320,I'm a nurse.,Ich bin Krankenschwester.
2321,You're old.,Sie sind alt.
2322,You've won!,Du hast gewonnen!
2323,Tom waited.,Tom wartete.
2324,Tom resigned.,Tom ist zurückgetreten.
2325,Be brave.,Seien Sie tapfer!
2326,I'm bored.,Mir ist langweilig.
2327,Try this on.,Probier den an!
2328,Tom was hurt.,Tom wurde verletzt.
2329,Did Tom swim?,Ist Tom geschwommen?
2330,Ask around.,Frag herum.
2331,Take it away.,Nimm es weg.
2332,Give it back.,Geben Sie es zurück.
2333,Who did that?,Wer hat es getan?
2334,Don't worry.,Keine Sorge.
2335,Deal with it.,Kümmere dich drum!
2336,He's a jerk.,Er ist ein Blödmann.
2337,Turn it on.,Schalte ihn ein.
2338,I want Tom.,Ich will Tom.
2339,I miss it.,Ich vermisse es.
2340,I want it.,Ich möchte es.
2341,I detest Tom.,Ich hasse Tom.
2342,I'm a purist.,Ich bin ein Purist.
2343,Hug me.,Drück mich!
2344,Tom is weak.,Tom ist schwach.
2345,Are we broke?,Sind wir pleite?
2346,We can win.,Wir können gewinnen.
2347,I didn't lie.,Ich habe nicht gelogen.
2348,Tom knows it.,Tom kennt ihn.
2349,Let me go!,Lassen Sie mich gehen!
2350,Say cheese.,Bitte recht freundlich!
2351,You're lost.,Sie haben sich verirrt.
2352,Go find Tom.,Gehe hin und suche Tom!
2353,We saw it.,Wir sahen es.
2354,Repeat it.,Wiederholen Sie es
2355,I'm thirsty.,Ich habe Durst.
2356,Help us.,Helfen Sie uns!
2357,Tom's dying.,Tom liegt im Sterben.
2358,Write to me.,Schreiben Sie mir!
2359,I fixed it.,Ich habe es repariert.
2360,It's futile.,Es ist nutzlos.
2361,I may win.,Vielleicht gewinne ich.
2362,Tom survived.,Tom hat überlebt.
2363,Use caution.,Sei vorsichtig!
2364,Do your best!,Geben Sie Ihr Bestes!
2365,Who hit you?,Wer hat dich geschlagen?
2366,Tom won.,Tom hat gewonnen.
2367,Who vanished?,Wer ist verschwunden?
2368,I refuse.,Ich weigere mich.
2369,They refused.,Sie weigerten sich.
2370,I knew that.,Ich wusste das.
2371,Nobody lied.,Niemand hat gelogen.
2372,Come aboard.,Komm an Bord!
2373,Call Tom now.,Ruf jetzt Tom an!
2374,I am well.,Es geht mir gut.
2375,Let's eat.,Essen wir etwas!
2376,Sweet dreams!,Süße Träume!
2377,Stop reading.,Hör auf zu lesen.
2378,I ate a lot.,Ich habe viel gegessen.
2379,"Say ""aah.""",Sag „Ah!“
2380,Who escaped?,Wer entkam?
2381,They agree.,Sie sind einverstanden.
2382,Tom is a man.,Tom ist ein Mann.
2383,Cheer up!,Kopf hoch!
2384,It happened.,Es ist passiert.
2385,I disagree.,Ich bin anderer Meinung.
2386,Step on it!,Gib Gas!
2387,Tom knelt.,Thomas kniete.
2388,I'm not old.,Ich bin nicht alt.
2389,Get away!,Hau ab!
2390,I can't move.,Ich kann mich nicht bewegen.
2391,Go away!,Zieh Leine!
2392,Hands off.,Hände weg!
2393,"Come in, Tom.","Komm rein, Tom!"
2394,Tom'll go.,Tom wird gehen.
2395,I'm needy.,Ich bin bedürftig.
2396,Loosen up.,Mach dich locker!
2397,Tom was slow.,Tom war langsam.
2398,I was rude.,Ich war ruppig.
2399,I'm busy now.,Ich bin im Moment beschäftigt.
2400,He relented.,Er gab nach.
2401,Nobody came.,Es kam niemand.
2402,Excuse me.,Entschuldigen Sie!
2403,She walks.,Sie geht.
2404,I fell.,Ich bin gestürzt.
2405,Tom ran.,Tom ist gerannt.
2406,He's wasted.,Er ist stockbesoffen.
2407,Tom vanished.,Tom ist verschwunden.
2408,Tom's home.,Tom ist zu Hause.
2409,Have a snack.,Nimm dir einen Imbiss!
2410,We succeeded.,Wir waren erfolgreich.
2411,Ask around.,Fragt herum.
2412,Who's that?,Wer ist das?
2413,I see.,Aha.
2414,We overslept.,Wir haben verschlafen.
2415,It isn't Tom.,Es ist nicht Tom.
2416,Just get out.,"Mach, dass du rauskommst!"
2417,I like it.,Es ist mir recht.
2418,Is it hot?,Ist es heiß?
2419,Tom's coming.,Tom kommt.
2420,Kill them.,Bringen Sie sie um!
2421,Let's study.,Lasst uns studieren!
2422,He is a poet.,Er ist ein Dichter.
2423,I read lips.,Ich lese Lippen.
2424,Tom has left.,Tom ist schon gegangen.
2425,You can't go.,Du kannst nicht gehen.
2426,It's a curse.,Es ist ein Fluch.
2427,Tom has come.,Tom ist gekommen.
2428,Have fun.,Viel Vergnügen!
2429,I was sleepy.,Ich war schläfrig.
2430,Stop smiling.,Hören Sie auf zu lächeln!
2431,Tom has left.,Tom ist schon weg.
2432,Tell Tom.,Sag es Tom.
2433,I feel sick.,Mir ist schlecht.
2434,Tom might go.,Vielleicht geht Tom.
2435,I was hungry.,Ich war hungrig.
2436,Kill them.,Bring sie um!
2437,I drink milk.,Ich trinke Milch.
2438,Tom was wary.,Tom war vorsichtig.
2439,I love Mary.,Ich liebe Maria.
2440,Don't be sad.,Gräme dich nicht.
2441,Hold it.,Bleib stehen!
2442,Who cheated?,Wer schummelte?
2443,Head north.,Fahren Sie Richtung Norden.
2444,Tom told me.,Tom hat es mir gesagt.
2445,Does it work?,Funktioniert das?
2446,No means no.,Nein heißt nein.
2447,I'm safe now.,Ich bin jetzt sicher.
2448,Tom stayed.,Tom blieb.
2449,They're cold.,Ihnen ist kalt.
2450,Think again.,Denk noch mal nach!
2451,Tom was shy.,Tom war schüchtern.
2452,Be careful.,Sei vorsichtig!
2453,Let's pray.,Lasset uns beten!
2454,Come at once.,Komm sofort hierher!
2455,Do it for me.,Tu’s für mich!
2456,They kissed.,Sie küssten sich.
2457,Tom dances.,Tom tanzt.
2458,I lost a bet.,Ich habe eine Wette verloren.
2459,Are you sick?,Bist du krank?
2460,Are you sick?,Seid ihr krank?
2461,Easy does it.,Vorsicht ist die Mutter der Porzellankiste.
2462,Cut that out!,Hör auf damit!
2463,Who quit?,Wer hat aufgehört?
2464,Tom's drunk.,Tom ist betrunken.
2465,Tom did that.,Tom hat das getan.
2466,Bury it.,Vergrabe es!
2467,I was shaken.,Ich war erschüttert.
2468,Tom is done.,Tom ist fertig.
2469,Drop the gun.,Lassen Sie die Waffe fallen!
2470,Please come.,Kommt bitte.
2471,I'm a spy.,Ich bin Spionin.
2472,Let me see.,Lasst mich sehen.
2473,Put it on.,Setz ihn dir auf.
2474,You said it!,Ganz genau!
2475,You can come.,Du kannst mitkommen.
2476,He found it.,Er hat es gefunden.
2477,Tom is picky.,Tom ist pingelig.
2478,I was naive.,Ich war naiv.
2479,Get lost!,Geh weg!
2480,I like rice.,Ich esse gerne Reis.
2481,Get away!,Zieh Leine!
2482,I'll obey.,Ich werde gehorchen.
2483,Who are you?,Wer seid ihr?
2484,It's too hot.,Er ist zu heiß.
2485,Was it funny?,War das lustig?
2486,Am I in love?,Bin ich verliebt?
2487,It may break.,Es könnte kaputt gehen.
2488,Don't cheat.,Betrüge nicht.
2489,Tom paints.,Tom malt.
2490,I slipped.,Ich bin ausgerutscht.
2491,Who'll start?,Wer fängt an?
2492,Let's begin.,Lasst uns anfangen!
2493,We won.,Wir haben gewonnen.
2494,I had doubts.,Ich hatte Zweifel.
2495,Tom changed.,Tom hat sich verändert.
2496,I love rock.,Ich liebe Rock.
2497,It's our car.,Es ist unser Auto.
2498,They came in.,Sie kamen rein.
2499,Who'll come?,Wer kommt?
2500,They called.,Sie riefen an.
2501,Tom got mad.,Tom wurde böse.
2502,Tom yelled.,Tom schrie.
2503,Tom talked.,Tom sprach.
2504,It's secret.,Das ist geheim.
2505,I adore you.,Ich verehre dich.
2506,I like both.,Ich mag beide.
2507,Let us go.,Lassen Sie uns gehen.
2508,Tom's smart.,Tom ist klug.
2509,Try it on.,Probier ihn an!
2510,Is she gone?,Ist sie weg?
2511,He relented.,Er lenkte ein.
2512,I helped.,Ich half.
2513,Keep cool.,Bleib gelassen!
2514,Do men cry?,Weinen Männer?
2515,I'm weak.,Ich bin schwach.
2516,Be creative.,Seien Sie kreativ!
2517,Ask around.,Fragen Sie herum.
2518,It's a bull.,Das ist ein Bulle.
2519,We don't lie.,Wir lügen nicht.
2520,Who did it?,Wer tat das?
2521,Was it cold?,War es kalt?
2522,I'm restless.,Ich bin ruhelos.
2523,Get in here!,Komm hier rein!
2524,I ate caviar.,Ich habe Kaviar gegessen.
2525,You may go.,Sie dürfen gehen.
2526,I'm stronger.,Ich bin stärker.
2527,Tom's bored.,Tom ist gelangweilt.
2528,Did Tom go?,Ist Tom hingegangen?
2529,He has wine.,Er hat Wein.
2530,Nobody came.,Es ist niemand gekommen.
2531,Seize him!,Fass ihn!
2532,He has come!,Er ist gekommen!
2533,I have a car.,Ich habe ein Auto.
2534,He hates her.,Er hasst sie.
2535,He is mean.,Er ist gemein.
2536,Tom worked.,Tom arbeitete.
2537,I like jazz.,Ich mag Jazzmusik.
2538,I was upset.,Ich war bestürzt.
2539,Don't worry.,Mach dir keine Gedanken.
2540,Then what?,Na und?
2541,Will this do?,Geht es damit?
2542,It'll break.,Es wird kaputt gehen.
2543,I'm 19.,Ich bin 19.
2544,Tom clapped.,Tom klatschte.
2545,He is busy.,Er ist beschäftigt.
2546,Stop smoking.,Hör auf zu rauchen.
2547,Is he Tom?,Ist er Tom?
2548,I swim a lot.,Ich schwimme viel.
2549,Wait for Tom.,Wartet auf Tom!
2550,Tom is sure.,Tom ist sich sicher.
2551,Call the FBI.,Rufe das FBI.
2552,I'm useless.,Ich bin ein Nichtsnutz.
2553,Were you bit?,Sind Sie gebissen worden?
2554,It's for me.,Es ist für mich.
2555,Drive slowly.,Fahre langsam.
2556,Get lost!,Mach ’ne Fliege!
2557,Wait a sec.,Augenblick mal!
2558,She shot him.,Sie erschoss ihn.
2559,Stop yelling!,Hört auf zu schreien!
2560,I'm so sorry.,Ich bin untröstlich.
2561,It's ready.,Es ist bereit.
2562,Try it on.,Probier es an!
2563,I am a nurse.,Ich bin Krankenpfleger.
2564,Do you teach?,Unterrichtest du?
2565,We work fast.,Wir arbeiten schnell.
2566,Tom is rich.,Tom ist reich.
2567,You called?,Haben Sie angerufen?
2568,Who's paying?,Wer bezahlt?
2569,Stay focused.,Konzentrieren Sie sich!
2570,I loved you.,Ich liebte dich.
2571,Hold still.,Haltet still!
2572,Call Tom.,Rufen Sie Tom an!
2573,Keep quiet!,Bleib ruhig!
2574,I deserve it.,Ich verdiene es.
2575,Be yourself.,Sei du selbst.
2576,He's not in.,Er ist nicht zu Hause.
2577,No problem.,Kein Problem.
2578,Lock it.,Schließ ihn ab.
2579,That's crazy.,Das ist irre.
2580,Be merciful.,Sei gnädig!
2581,It's here.,Es ist hier.
2582,I feel dizzy.,Mir wird übel.
2583,Are you mad?,Bist du verrückt?
2584,We buy CDs.,Wir kaufen CDs.
2585,Tom moaned.,Tom stöhnte.
2586,Is that it?,Ist es das?
2587,Take it easy!,Immer mit der Ruhe!
2588,Let go of me!,Lassen Sie mich los!
2589,I'm bad.,Ich bin schlecht.
2590,I approve.,Ich bin einverstanden.
2591,They've gone.,Sie sind weg.
2592,We walked.,Wir sind zu Fuß gegangen.
2593,She blushed.,Sie errötete.
2594,I'm happy.,Ich bin froh.
2595,I'm through.,Ich bin damit durch.
2596,Tom is busy.,Tom hat zu tun.
2597,Beat it.,Pack dich!
2598,Did I win?,Habe ich gewonnen?
2599,Run!,Lauf!
2600,Keep focused.,Konzentrier dich.
2601,I'm next.,Ich bin der Nächste.
2602,Wow!,Potzdonner!
2603,Keep back.,Bleiben Sie zurück.
2604,Is it yours?,Ist das deins?
2605,That's me.,Das bin ich!
2606,Is it to go?,Zum Mitnehmen?
2607,Keep it.,Behalten Sie ihn!
2608,Who stood?,Wer stand?
2609,They're new.,Sie sind neu.
2610,I drank milk.,Ich trank Milch.
2611,I said stop.,"Ich habe gesagt, dass du aufhören sollst!"
2612,Don't go yet.,Geht noch nicht!
2613,Come forward.,Melde dich.
2614,I'm winning.,Ich bin am Gewinnen.
2615,It's ready.,Es ist fertig.
2616,We had lunch.,Wir aßen zu Mittag.
2617,I have food.,Ich habe etwas zu essen.
2618,No one came.,Niemand kam.
2619,Take it home.,Nimm es mit nach Hause.
2620,He is a DJ.,Er ist ein DJ.
2621,Count to ten.,Zähl bis zehn.
2622,I must hurry.,Ich muss mich beeilen.
2623,Tom loved us.,Tom hat uns geliebt.
2624,I love cake.,Ich liebe Kuchen.
2625,Who phoned?,Wer hat telefoniert?
2626,Don't get up.,Steh nicht auf.
2627,They cheat.,Sie mogeln.
2628,Record this.,Nimm das auf!
2629,We must obey.,Wir müssen gehorchen.
2630,I'll get by.,Ich werde klarkommen.
2631,I'm not sure.,Ich bin mir nicht sicher.
2632,I was sick.,Ich war krank.
2633,Let Tom stay.,Lasst Tom bleiben.
2634,Get started.,Legt los.
2635,You drive.,Du fährst.
2636,Tom broke it.,Tom hat es ruiniert.
2637,I'm shy.,Ich bin schüchtern.
2638,I lied.,Ich habe gelogen.
2639,It's on me.,Das geht auf meine Rechnung.
2640,You're back.,Du bist zurück.
2641,He has money.,Er hat Geld.
2642,Burn it.,Verbrennen Sie es!
2643,Get moving.,Beweg dich.
2644,Who phoned?,Wer telefonierte?
2645,Tom broke it.,Tom hat es kaputt gemacht.
2646,They're lost.,Sie haben sich verirrt.
2647,Can you see?,Können Sie sehen?
2648,Turn it off.,Mach ihn aus.
2649,Someone sang.,Irgendjemand hat gesungen.
2650,Are you dead?,Bist du tot?
2651,They'll know.,Sie werden das mitkriegen.
2652,Surprise me.,Überrasche mich.
2653,Keep away.,Bleiben Sie weg.
2654,Let's talk.,Lass uns reden.
2655,Get lost!,Hau ab!
2656,You're fair.,Du bist fair.
2657,Don't panic!,Nicht in Panik ausbrechen!
2658,It'll happen.,Es wird geschehen.
2659,Sit down.,Setz dich!
2660,Hug me.,Nimm mich in den Arm!
2661,Come home.,Kommt heim!
2662,You run.,Du läufst.
2663,She is curt.,Sie ist schroff.
2664,Drink this.,Trink das!
2665,Be vigilant.,Sei wachsam.
2666,He's my hero.,Er ist mein Held.
2667,It's my life.,Das ist mein Leben.
2668,This is ice.,Das ist Eis.
2669,Let Tom live.,Lass Tom am Leben!
2670,I eat fruit.,Ich esse Obst.
2671,I ate a lot.,Ich habe mächtig reingehauen.
2672,I fired Tom.,Ich habe Tom gefeuert.
2673,That's all.,Das ist alles.
2674,Who did it?,Wer hat es getan?
2675,Speak softly.,Sprich leise!
2676,We broke up.,Wir haben Schluss gemacht.
2677,I overslept.,Ich habe verschlafen.
2678,Sit down!,Setz dich!
2679,I'll be good.,Ich werde brav sein.
2680,We found it.,Wir haben es gefunden.
2681,It's too big.,Das ist zu groß.
2682,Who did it?,Wer hat es gemacht?
2683,Forget me.,Vergesst mich!
2684,Keep working.,Arbeite weiter!
2685,Forget it!,Vergiss es!
2686,She went out.,Sie ging raus.
2687,Tom's well.,Tom geht es gut.
2688,You know me.,Sie kennen mich.
2689,Tom ate.,Tom hat gegessen.
2690,Stay sharp.,Bleibt wachsam!
2691,Tom is hurt.,Tom ist verletzt.
2692,It's gone.,Es ist weg.
2693,We need them.,Wir brauchen sie.
2694,I laughed.,Ich lachte.
2695,Wait a sec.,Warte mal kurz!
2696,I'm too busy.,Ich bin zu beschäftigt.
2697,I need paint.,Ich brauche Farbe.
2698,It's hailing.,Es hagelt.
2699,I need a job.,Ich brauche einen Job.
2700,Pull it open.,Zieh es auf.
2701,Is it yours?,Ist es deins?
2702,It's useless.,Das kann man in der Pfeife rauchen.
2703,Tom watched.,Thomas sah zu.
2704,Have another.,Nehmen Sie noch einen.
2705,That's free.,Das ist gratis.
2706,Do I look OK?,Seh ich ok aus?
2707,Get Tom.,Hol Tom.
2708,Guess again.,Ratet noch einmal!
2709,Don't shoot.,Nicht schießen!
2710,We're right.,Wir haben recht.
2711,Stop running.,Hör auf zu rennen!
2712,No objection.,Kein Einspruch.
2713,Someone sang.,Irgendjemand sang.
2714,He's smart.,Er ist elegant.
2715,Are we lost?,Haben wir uns verlaufen?
2716,"I'm 17, too.",Ich bin auch siebzehn.
2717,I am a man.,Ich bin ein Mann.
2718,He's lying.,Er lügt.
2719,Get dressed.,Zieh dich an!
2720,Don't laugh.,Lach nicht!
2721,I'm hungover.,Ich habe einen Kater.
2722,Do come in.,Komm doch rein!
2723,You need us.,Sie brauchen uns.
2724,Are you well?,Geht es dir gut?
2725,Take action.,Handele!
2726,Tom sighed.,Tom seufzte.
2727,Tom'll call.,Tom wird anrufen.
2728,He spoke.,Er sprach.
2729,It's me!,Ich bin’s.
2730,Tom bowed.,Tom verneigte sich.
2731,Who yelled?,Wer hat geschrien?
2732,Stop gawking.,Hör auf zu glotzen.
2733,I'm dyslexic.,Ich bin Legasthenikerin.
2734,I mean it!,Ich meine es ernst!
2735,Go for help.,Hol Hilfe!
2736,Get ready.,Mach dich bereit!
2737,Kiss me.,Küsst mich.
2738,Is this OK?,Ist das okay?
2739,Come back in.,Kommt wieder rein.
2740,Come aboard.,Kommen Sie an Bord!
2741,Tom is shy.,Tom ist schüchtern.
2742,Humor Tom.,Lasst Tom doch seinen Willen.
2743,Tom objected.,Tom widersprach.
2744,Be ruthless.,Seien Sie gnadenlos!
2745,Keep running.,Renn weiter.
2746,OK. I agree.,"Okay, ich bin einverstanden."
2747,Tom can cook.,Tom kann kochen.
2748,I ran away.,Ich rannte davon.
2749,No kidding?,Wirklich?
2750,Send Tom in.,Schicken Sie Tom herein!
2751,You may go.,Ihr könnt gehen.
2752,Hurry up.,Beeil dich!
2753,Grab him.,Greif ihn dir!
2754,Tom enlisted.,Tom schrieb sich ein.
2755,Get serious.,Sei mal ernst!
2756,Let me out!,Lass mich raus!
2757,Tom is blind.,Tom ist blind.
2758,I'll sue you.,Ich werde dich verklagen.
2759,It's too big.,Sie ist zu groß.
2760,I'll go.,Ich gehe.
2761,He helps us.,Er hilft uns.
2762,We must run.,Wir müssen rennen.
2763,Tom is wet.,Tom ist nass.
2764,Tom is happy.,Tom ist beglückt.
2765,I took it.,Ich nahm es.
2766,They're old.,Sie sind alt.
2767,Help!,Zu Hülf!
2768,We're back.,Wir sind wieder da.
2769,Tom prayed.,Tom betete.
2770,Lie low.,Legen Sie sich nieder!
2771,This'll work.,Das wird funktionieren.
2772,It'll work.,Es wird funktionieren.
2773,Tom is nuts.,Tom hat einen Dachschaden.
2774,Keep that.,Behalt’s!
2775,They approve.,Sie sind dafür.
2776,I'm in debt.,Ich bin verschuldet.
2777,I hope I win.,"Ich hoffe, dass ich gewinne."
2778,It's for Tom.,Das ist für Tom.
2779,Stand aside.,Geh zur Seite!
2780,Tell Tom.,Erzählen Sie Tom davon.
2781,Release him.,Lass ihn frei!
2782,This is life!,So ist das Leben!
2783,Tom has wine.,Tom hat Wein.
2784,We're hot.,Uns ist heiß.
2785,Forget it!,Daraus wird nichts.
2786,Tom tripped.,Tom stolperte.
2787,Get down!,Runter!
2788,That's fine.,Das ist in Ordnung.
2789,Stand still.,Stehe still!
2790,How's work?,Wie läuft die Arbeit?
2791,I'm safe.,Ich bin sicher.
2792,Memorize it.,Präg es dir ein.
2793,Anything new?,Gibt's was Neues?
2794,He will come.,Er wird kommen.
2795,I fixed it.,Ich habe sie repariert.
2796,He can do it.,Er kann es schaffen.
2797,Things break.,Dinge gehen kaputt.
2798,Ask Mary out.,"Bitte Maria, mit dir auszugehen."
2799,Don't come.,Komm nicht.
2800,Don't forget.,Vergiss es nicht!
2801,Dig faster.,Grab schneller.
2802,We applauded.,Wir applaudierten.
2803,Please relax.,Entspannen Sie sich bitte.
